legal_term,sense_id,plain_term,category,change_policy,context,notes
አለበት,obligation,አለበት,modal_verb,never,Imposes mandatory legal duty,Keep wording stable
አይፈቀድለትም,prohibition,አይፈቀድም,prohibition,never,Explicit legal prohibition,Do not weaken
አይቻልም,absolute_prohibition,አይቻልም,prohibition,never,Absolute legal impossibility,Do not soften
ይቆጠራል,legal_classification,እንደ … ይቆጠራል,verb_phrase,never,Legal deeming or classification,Legal fiction
ኃላፊ ይሆናል,liability,ተጠያቂ ይሆናል,verb_phrase,allowed,Imposition of legal responsibility,Normalize liability wording
ተጠያቂ ሊሆን ይችላል,possible_liability,ተጠያቂ ሊሆን ይችላል,verb_phrase,never,Conditional legal liability,Do not weaken condition
ዋጋ አይኖራቸውም,invalidity,ኃይል የለውም,verb_phrase,allowed,Clause has no legal effect,Standard invalidity phrase
አይጸናም,invalidity_strict,አይጸናም,verb_phrase,never,Legal non-validity,Keep precise term
ውልን ማቋረጥ,termination,ውል መቋረጥ,verb_phrase,allowed,Ending a contract,Normalize infinitive
ውልን ማፍረስ,rescission,ውል ማፍረስ,verb_phrase,never,Judicial rescission of contract,Distinct from termination
መመዝገብ,registration,መመዝገብ,verb,never,Formal legal registration,Keep original
ማስረከብ ግዴታ,delivery_obligation,ማስረከብ ግዴታ,noun,never,Seller duty to deliver,Technical obligation
መያዣ ዋስትና,security_interest,መያዣ ዋስትና,noun,never,Security right,Do not simplify
መያዣ ማድረግ,pledge,መያዣ ማድረግ,verb_phrase,never,Creation of security interest,Technical act
ሦስተኛ ወገን,third_party,ሦስተኛ ወገን,noun,never,Non-contracting party,Standard legal term
ማስታወቂያ,legal_notice,ማስታወቂያ,noun,never,Formal legal notice,Do not simplify
መቃወሚያ,legal_remedy,መቃወሚያ,noun,never,Formal objection,Technical term
በጽሁፍ ካልሆነ,writing_requirement,በጽሁፍ ካልሆነ,condition,never,Written-form requirement,Formal validity condition
ይሰጣል,entitlement,ይሰጣል,verb,never,Grant of legal right,Keep neutral
ይከፍላል,payment_duty,ይከፍላል,verb,never,Immediate duty to pay,Do not weaken
በ… መሠረት,causal_basis,በ… ምክንያት,connector,allowed,Legal justification,Simplify causal phrasing
በዚህ አዋጅ መሠረት,statutory_basis,በዚህ ሕግ መሠረት,connector,allowed,Reference to statute,Modern wording
እንዲሁም,additive,እና,connector,allowed,Enumeration,Simplify connector
ሆኖም,contrast,ግን,connector,allowed,Contrast clause,Shorten form
ቢሆንም,concession,ግን,connector,allowed,Concessive clause,Reduce complexity
ከ… በስተቀር,exception,ከ… በስተቀር,condition,never,Legal exception,Do not remove exception
ካል… በስተቀር,conditional_exception,ካል… በስተቀር,condition,never,Conditional exception,Preserve structure
ማንኛውም ሰው,universal_subject,ሁሉም ሰው,noun_phrase,allowed,General subject,Simplify universal reference
የተጠቀሱት,reference,የተነገሩት,reference,allowed,Backward reference,Reduce formality
የሚከተለው,forward_reference,የሚመጣው,reference,allowed,Forward reference,Simplify phrasing
እንደተጠበቀ ሆኖ,reservation,እንዲሁ ቢሆንም,connector,allowed,Legal reservation,Reduce formality
በመሆኑም,result,ስለዚህ,connector,allowed,Result clause,Simplify reasoning
ተፈጻሚነት,validity,ተፈጻሚነት,noun,never,Legal validity,Do not paraphrase
ተፈጻሚነት,execution,መፈጸም,noun,contextual,Execution or enforcement,Simplify when action-based
ተፈጻሚ ይሆናል,applicability,ይሠራል,verb_phrase,allowed,Law becomes applicable,Common simplification
መወሰን,decision,መወሰን,verb,never,Formal legal decision,Keep legal sense
መወሰን,informal_decision,መምረጥ,verb,contextual,Non-judicial choice,Simplify when non-legal
መመርመር,investigation,መመርመር,verb,never,Formal investigation,Preserve meaning
መመርመር,review,መመልከት,verb,contextual,Administrative review,Simplify when applicable


legal_term,sense_id,plain_term,category,change_allowed,rule_type,context,notes
አለበት,obligation,አለበት,modal_verb,no,same,Imposes mandatory legal duty,Keep wording stable
አይፈቀድለትም,prohibition,አይፈቀድም,prohibition,no,same,Explicit legal prohibition,Do not weaken
ይቆጠራል,legal_classification,እንደ … ይቈጠራል,verb_phrase,no,same,Legal deeming or classification,Legal fiction
ኃላፊ ይሆናል,liability,ተጠያቂ ይሆናል,verb_phrase,yes,same,Imposition of legal responsibility,Normalize liability wording
ዋጋ አይኖራቸውም,invalidity,ኃይል የለውም,verb_phrase,yes,same,Clause has no legal effect,Standard invalidity phrase
አይጸናም,invalidity,አይጸናም,verb_phrase,no,same,Legal non-validity,Keep precise term
አይቻልም,prohibition,አይቻልም,prohibition,no,same,Absolute legal impossibility,Do not soften
መቃወሚያ,legal_remedy,መቃወሚያ,noun,no,same,Formal legal objection,Technical term
ማስታወቂያ,legal_notice,ማስታወቂያ,noun,no,same,Required legal notice,Do not simplify
ውልን ማቋረጥ,termination,ውል መቋረጥ,verb_phrase,yes,same,Ending a contract,Normalize infinitive
ውልን ማፍረስ,rescission,ውል ማፍረስ,verb_phrase,no,same,Judicial rescission of contract,Distinct from termination
መመዝገብ,registration,መመዝገብ,verb,no,same,Formal legal registration,Keep original
ማስረከብ ግዴታ,delivery_obligation,ማስረከብ ግዴታ,noun,no,same,Seller’s duty to deliver,Technical obligation
መያዣ ዋስትና,security_interest,መያዣ ዋስትና,noun,no,same,Security right over business,Do not simplify
መያዣ ማድረግ,pledge,መያዣ ማድረግ,verb_phrase,no,same,Creating security interest,Technical act
ሦስተኛ ወገን,third_party,ሦስተኛ ወገን,noun,no,same,Person not party to contract,Standard legal term
በጽሁፍ ካልሆነ,writing_requirement,በጽሁፍ ካልሆነ,condition,no,same,Written-form requirement,Formal validity condition
ተጠያቂ ሊሆን ይችላል,possible_liability,ተጠያቂ ሊሆን ይችላል,verb_phrase,no,same,Potential legal liability,Conditional liability
ይሰጣል,entitlement,ይሰጣል,verb,no,same,Granting of legal right or benefit,Keep neutral
ይከፍላል,payment_duty,ይከፍላል,verb,no,same,Immediate duty to pay,Do not weaken
ውድቅ ማድረግ,rejection,ውድቅ ማድረግ,verb_phrase,no,same,Court dismisses objections,Procedural term
ይደረጋል,procedural_action,ይደረጋል,verb,no,same,Legal or procedural action ordered,Neutral legal verb
ትርፍ ገንዘብ,surplus,ትርፍ ገንዘብ,noun,no,same,Remaining amount after distribution,Financial legal term
በሐራጅ መሸጥ,auction_sale,በሐራጅ መሸጥ,verb_phrase,no,same,Judicial auction sale,Do not simplify
ያዝዛል,court_order,ያዝዛል,verb,no,same,Court issues binding order,Strong judicial verb
የዋስትና መብት,security_right,የዋስትና መብት,noun,no,same,Right arising from security,Technical property right
ካልተመዘገበ በስተቀር,registration_condition,ካልተመዘገበ በስተቀር,condition,no,same,Effectiveness depends on registration,Formal condition
የውል ቃል,contract_clause,የውል ቃል,noun,no,same,Specific clause of a contract,Keep precise
መዛወር,relocation,መዛወር,verb,no,same,Change of business location,Neutral legal action
ማስተካከል,amendment,ማስተካከል,verb,no,same,Adjustment of registration or record,Procedural
የመከታተል መብት,follow_up_right,የመከታተል መብት,noun,no,same,Right of security to follow asset,Technical security concept
ፈራሽ ይሆናል,voidable,ፈራሽ ይሆናል,verb_phrase,no,same,Lease becomes voidable,Distinct from termination
የዋስትና ገንዘብ,security_deposit,የዋስትና ገንዘብ,noun,no,same,Deposit securing obligations,Keep technical
ሙሉ ለሙሉ ይመለስ,full_refund,ሙሉ ለሙሉ መመለስ,verb_phrase,yes,same,Return of full security amount,Normalize infinitive
የጽሁፍ ፈቃድ,written_consent,የጽሁፍ ፈቃድ,noun,no,same,Formal written approval,Do not simplify
