legal_term,sense_id,plain_term,category,change_allowed,context,notes
አለበት,obligation,አለበት,modal_verb,no,Imposes mandatory legal duty,Keep wording stable
አይፈቀድለትም,prohibition,አይፈቀድም,prohibition,no,Explicit legal prohibition,Do not weaken
ይቆጠራል,legal_classification,እንደ … ይቈጠራል,verb_phrase,no,Legal deeming or classification,Legal fiction
ኃላፊ ይሆናል,liability,ተጠያቂ ይሆናል,verb_phrase,yes,Imposition of legal responsibility,Normalize liability wording
ዋጋ አይኖራቸውም,invalidity,ኃይል የለውም,verb_phrase,yes,Clause has no legal effect,Standard invalidity phrase
አይጸናም,invalidity,አይጸናም,verb_phrase,no,Legal non-validity,Keep precise term
አይቻልም,prohibition,አይቻልም,prohibition,no,Absolute legal impossibility,Do not soften
መቃወሚያ,legal_remedy,መቃወሚያ,noun,no,Formal legal objection,Technical term
ማስታወቂያ,legal_notice,ማስታወቂያ,noun,no,Required legal notice,Do not simplify
ውልን ማቋረጥ,termination,ውል መቋረጥ,verb_phrase,yes,Ending a contract,Normalize infinitive
ውልን ማፍረስ,rescission,ውል ማፍረስ,verb_phrase,no,Judicial rescission of contract,Distinct from termination
መመዝገብ,registration,መመዝገብ,verb,no,Formal legal registration,Keep original
ማስረከብ ግዴታ,delivery_obligation,ማስረከብ ግዴታ,noun,no,Seller’s duty to deliver,Technical obligation
መያዣ ዋስትና,security_interest,መያዣ ዋስትና,noun,no,Security right over business,Do not simplify
መያዣ ማድረግ,pledge,መያዣ ማድረግ,verb_phrase,no,Creating security interest,Technical act
ሦስተኛ ወገን,third_party,ሦስተኛ ወገን,noun,no,Person not party to contract,Standard legal term
በጽሁፍ ካልሆነ,writing_requirement,በጽሁፍ ካልሆነ,condition,no,Written-form requirement,Formal validity condition
ተጠያቂ ሊሆን ይችላል,possible_liability,ተጠያቂ ሊሆን ይችላል,verb_phrase,no,Potential legal liability,Conditional liability
ይሰጣል,entitlement,ይሰጣል,verb,no,Granting of legal right or benefit,Keep neutral
ይከፍላል,payment_duty,ይከፍላል,verb,no,Immediate duty to pay,Do not weaken

legal_term,sense_id,plain_term,category,change_allowed,context,notes
ውድቅ ማድረግ,rejection,ውድቅ ማድረግ,verb_phrase,no,Court dismisses objections,Procedural term
ይደረጋል,procedural_action,ይደረጋል,verb,no,Legal or procedural action ordered,Neutral legal verb
ትርፍ ገንዘብ,surplus,ትርፍ ገንዘብ,noun,no,Remaining amount after distribution,Financial legal term
በሐራጅ መሸጥ,auction_sale,በሐራጅ መሸጥ,verb_phrase,no,Judicial auction sale,Do not simplify
ያዝዛል,court_order,ያዝዛል,verb,no,Court issues binding order,Strong judicial verb
የዋስትና መብት,security_right,የዋስትና መብት,noun,no,Right arising from security,Technical property right
ካልተመዘገበ በስተቀር,registration_condition,ካልተመዘገበ በስተቀር,condition,no,Effectiveness depends on registration,Formal condition
የውል ቃል,contract_clause,የውል ቃል,noun,no,Specific clause of a contract,Keep precise
መዛወር,relocation,መዛወር,verb,no,Change of business location,Neutral legal action
ማስተካከል,amendment,ማስተካከል,verb,no,Adjustment of registration or record,Procedural
የመከታተል መብት,follow_up_right,የመከታተል መብት,noun,no,Right of security to follow asset,Technical security concept
ፈራሽ ይሆናል,voidable,ፈራሽ ይሆናል,verb_phrase,no,Lease becomes voidable,Distinct from termination
የዋስትና ገንዘብ,security_deposit,የዋስትና ገንዘብ,noun,no,Deposit securing obligations,Keep technical
ሙሉ ለሙሉ ይመለስ,full_refund,ሙሉ ለሙሉ መመለስ,verb_phrase,yes,Return of full security amount,Normalize infinitive
የጽሁፍ ፈቃድ,written_consent,የጽሁፍ ፈቃድ,noun,no,Formal written approval,Do not simplify
በጋዜጣ ማስታወቅ,publication_notice,በጋዜጣ ማስታወቅ,verb_phrase,no,Mandatory public notice,Formal requirement
ኃላፊነት አለበት,mandatory_liability,ኃላፊነት አለበት,verb_phrase,no,Imposition of strict responsibility,Strong liability
ያስገድደዋል,compulsion,ያስገድደዋል,verb,no,Law forces immediate action,Coercive legal effect
ተወዳዳሪ ንግድ,competitive_business,ተወዳዳሪ ንግድ,noun,no,Competing commercial activity,Competition law concept
ኪሳራ እንዲከፍል,damages,ኪሳራ መክፈል,verb_phrase,yes,Compensation for loss,Normalize infinitive
ክልከላ,non_compete_limit,ክልከላ,noun,no,Contractual restriction,Time-bound restriction
መዋጮ,contribution,መዋጮ,noun,no,Membership or capital contribution,Corporate law term
ማህበርተኛ,member,ማህበርተኛ,noun,no,Member of business association,Defined legal role
ንግድ ማህበር,business_association,ንግድ ማህበር,noun,no,Commercial legal entity,Statutory definition
